channel_id,platform,region,source_url,tiktok_handle,channel_split,n_speakers,n_segments,hours
Fezzan Libya Organisation,youtube,Fezzan,,,test,11,248,0.44
FezzanTV,youtube,Fezzan,,,dev,4,105,0.194
Hakim Alzwey حكيم في بريطانيا,youtube,Cyrenaica,https://www.youtube.com/@HakimAlzwey/videos,,dev,1,409,0.735
LIBYATD_-_MOTALEB,youtube,Tripolitania,,,dev,2,32,0.046
Libya Al-Ahrar,youtube,Fezzan,,,train,2,19,0.034
Libya's Channel,youtube,Fezzan,,,test,5,278,0.456
Libya_Al-Ahrar,youtube,Tripolitania,,,train,17,814,1.423
Libyan Cloud News Agency,youtube,Fezzan,,,train,1,11,0.023
Mouayed_Film,youtube,Tripolitania,,,test,2,30,0.043
Radio Sahab 88.9FM,youtube,Fezzan,,,train,16,2629,4.482
em_05_0,youtube,Fezzan,,,train,1,63,0.119
tiktok_.0106623,tiktok,Tripolitania,,.0106623,dev,1,33,0.062
tiktok_.future28,tiktok,Cyrenaica,,.future28,dev,1,65,0.118
tiktok_0914827808k,tiktok,Cyrenaica,,0914827808k,train,1,13,0.024
tiktok_17pressly,tiktok,Cyrenaica,,17pressly,test,7,88,0.167
tiktok_19ahmedalmjdoub94,tiktok,Tripolitania,,19ahmedalmjdoub94,dev,1,62,0.117
tiktok_1rahalista,tiktok,Cyrenaica,,1rahalista,dev,1,10,0.02
tiktok_Unknown_User,tiktok,Cyrenaica,,Unknown_User,dev,2,154,0.3
tiktok_aadmbaba_#Aadm_baba,tiktok,Tripolitania,,aadmbaba_#Aadm_baba,dev,1,76,0.139
tiktok_abdalhmedbahbah,tiktok,Cyrenaica,,abdalhmedbahbah,test,1,216,0.412
tiktok_abdallah_aliii,tiktok,Cyrenaica,,abdallah_aliii,train,1,189,0.371
tiktok_abdasslam,tiktok,Fezzan,,abdasslam,dev,1,25,0.049
tiktok_abdo124abdo227,tiktok,Fezzan,,abdo124abdo227,test,1,13,0.022
tiktok_adam.almachi,tiktok,Tripolitania,,adam.almachi,test,1,147,0.278
tiktok_aftoha.89,tiktok,Cyrenaica,,aftoha.89,train,1,8,0.016
tiktok_ahmed.ahmed4981,tiktok,Tripolitania,,ahmed.ahmed4981,test,1,5,0.006
tiktok_ahmed_7sager,tiktok,Tripolitania,,ahmed_7sager,train,1,51,0.081
tiktok_ahmedbhairey,tiktok,Cyrenaica,,ahmedbhairey,test,1,31,0.048
tiktok_ahmedrakaba,tiktok,Cyrenaica,,ahmedrakaba,test,1,8,0.014
tiktok_ahmedsanussi,tiktok,Tripolitania,,ahmedsanussi,test,1,352,0.624
tiktok_ahmedzgaddafi,tiktok,Tripolitania,,ahmedzgaddafi,train,1,13,0.025
tiktok_ahoor1999,tiktok,Fezzan,,ahoor1999,dev,1,10,0.013
tiktok_al.abdly,tiktok,Cyrenaica,,al.abdly,test,1,2,0.003
tiktok_al_almhre,tiktok,Tripolitania,,al_almhre,test,1,69,0.128
tiktok_alawami,tiktok,Cyrenaica,,alawami,train,1,23,0.04
tiktok_alhasan.baker,tiktok,Tripolitania,,alhasan.baker,dev,1,149,0.241
tiktok_all.all5656,tiktok,Cyrenaica,,all.all5656,test,7,150,0.256
tiktok_almuatasem1,tiktok,Tripolitania,,almuatasem1,train,2,87,0.153
tiktok_alsultanly0,tiktok,Fezzan,,alsultanly0,train,1,160,0.283
tiktok_amaladale22,tiktok,Tripolitania,,amaladale22,train,1,100,0.161
tiktok_ameen1944,tiktok,Tripolitania,,ameen1944,train,1,143,0.264
tiktok_amone97,tiktok,Fezzan,,amone97,train,1,14,0.02
tiktok_anamsedie,tiktok,Fezzan,,anamsedie,test,2,163,0.279
tiktok_asaad_azbaita,tiktok,Fezzan,,asaad_azbaita,train,1,30,0.062
tiktok_at_food,tiktok,Fezzan,,at_food,train,1,20,0.039
tiktok_awwab.ly,tiktok,Tripolitania,,awwab.ly,test,1,58,0.107
tiktok_ayman.photographer,tiktok,Fezzan,,ayman.photographer,test,1,37,0.056
tiktok_aymanalgharyani91,tiktok,Tripolitania,,aymanalgharyani91,test,1,160,0.288
tiktok_azoosheka,tiktok,Cyrenaica,,azoosheka,train,1,312,0.594
tiktok_badie.ahmida,tiktok,Fezzan,,badie.ahmida,test,1,11,0.017
tiktok_baissa_alzwai,tiktok,Cyrenaica,,baissa_alzwai,train,1,47,0.088
tiktok_benhiffzy,tiktok,Cyrenaica,,benhiffzy,dev,1,17,0.032
tiktok_bu.gaddafi,tiktok,Cyrenaica,,bu.gaddafi,dev,3,27,0.049
tiktok_d..o..l..l..a..r,tiktok,Cyrenaica,,d..o..l..l..a..r,test,1,14,0.027
tiktok_darna,tiktok,Cyrenaica,,darna,train,1,22,0.034
tiktok_diaries,tiktok,Fezzan,,diaries,dev,1,31,0.059
tiktok_dr.ahmed_salah,tiktok,Tripolitania,,dr.ahmed_salah,dev,2,140,0.267
tiktok_dr.mohamed,tiktok,Cyrenaica,,dr.mohamed,test,1,127,0.244
tiktok_dr.sampee,tiktok,Cyrenaica,,dr.sampee,train,1,143,0.241
tiktok_drivingtips05,tiktok,Tripolitania,,drivingtips05,train,1,176,0.28
tiktok_elhadi,tiktok,Fezzan,,elhadi,test,1,75,0.119
tiktok_em,tiktok,Fezzan,,em,train,1,4,0.005
tiktok_esam6006,tiktok,Tripolitania,,esam6006,dev,2,279,0.459
tiktok_esraaalbarghathi,tiktok,Tripolitania,,esraaalbarghathi,test,1,53,0.102
tiktok_eye_of_misrata,tiktok,Fezzan,,eye_of_misrata,test,1,16,0.032
tiktok_fans_aselbhir,tiktok,Tripolitania,,fans_aselbhir,test,1,6,0.01
tiktok_ffffnu5,tiktok,Tripolitania,,ffffnu5,dev,1,15,0.026
tiktok_fozialobedy,tiktok,Fezzan,,fozialobedy,test,1,23,0.043
tiktok_hananelnu,tiktok,Cyrenaica,,hananelnu,train,1,156,0.254
tiktok_hato547,tiktok,Cyrenaica,,hato547,test,1,9,0.015
tiktok_hussam,tiktok,Tripolitania,,hussam,dev,1,110,0.211
tiktok_ili02.co,tiktok,Cyrenaica,,ili02.co,test,1,53,0.092
tiktok_khalid,tiktok,Fezzan,,khalid,train,1,8,0.015
tiktok_las.asema,tiktok,Tripolitania,,las.asema,train,1,7,0.011
tiktok_lavanna505,tiktok,Fezzan,,lavanna505,dev,2,21,0.038
tiktok_laytayntq7q,tiktok,Tripolitania,,laytayntq7q,train,1,5,0.006
tiktok_libya180,tiktok,Cyrenaica,,libya180,dev,11,250,0.427
tiktok_libya_luz,tiktok,Fezzan,,libya_luz,test,1,21,0.034
tiktok_libyaalhadath,tiktok,Cyrenaica,,libyaalhadath,dev,2,18,0.035
tiktok_libyihmoland,tiktok,Fezzan,,libyihmoland,train,1,28,0.05
tiktok_lweshi,tiktok,Tripolitania,,lweshi,dev,1,250,0.469
tiktok_m.motatik,tiktok,Fezzan,,m.motatik,test,3,157,0.293
tiktok_maher,tiktok,Cyrenaica,,maher,test,1,10,0.02
tiktok_mahmouderhouma,tiktok,Fezzan,,mahmouderhouma,train,7,241,0.388
tiktok_marwanalkrgli,tiktok,Cyrenaica,,marwanalkrgli,dev,1,184,0.31
tiktok_mautazmassuod,tiktok,Tripolitania,,mautazmassuod,train,1,121,0.212
tiktok_mega.store.ly,tiktok,Tripolitania,,mega.store.ly,dev,1,182,0.323
tiktok_mo_.kh,tiktok,Tripolitania,,mo_.kh,train,1,20,0.04
tiktok_mohammedasharef0,tiktok,Tripolitania,,mohammedasharef0,test,1,141,0.257
tiktok_monder,tiktok,Tripolitania,,monder,test,1,182,0.335
tiktok_more,tiktok,Tripolitania,,more,train,2,38,0.072
tiktok_ng_platform,tiktok,Cyrenaica,,ng_platform,train,1,10,0.015
tiktok_othmanmohammed860,tiktok,Fezzan,,othmanmohammed860,train,1,93,0.168
tiktok_r.d.x.99,tiktok,Cyrenaica,,r.d.x.99,dev,1,6,0.014
tiktok_radiosahab88.9fm,tiktok,Fezzan,,radiosahab88.9fm,dev,4,121,0.206
tiktok_ranaeldliwo4,tiktok,Cyrenaica,,ranaeldliwo4,test,1,16,0.034
tiktok_rehlapod,tiktok,Cyrenaica,,rehlapod,dev,1,11,0.019
tiktok_saad_ahmeida,tiktok,Cyrenaica,,saad_ahmeida,dev,1,32,0.066
tiktok_salah_alatiwiesh,tiktok,Fezzan,,salah_alatiwiesh,dev,1,7,0.015
tiktok_serjo92bish,tiktok,Tripolitania,,serjo92bish,test,2,264,0.464
tiktok_serry9999,tiktok,Tripolitania,,serry9999,train,2,176,0.324
tiktok_shaimaprod,tiktok,Tripolitania,,shaimaprod,test,1,107,0.204
tiktok_shimo99g,tiktok,Cyrenaica,,shimo99g,train,1,39,0.08
tiktok_stduio_2000,tiktok,Fezzan,,stduio_2000,dev,3,245,0.468
tiktok_storyaatt,tiktok,Tripolitania,,storyaatt,test,1,27,0.047
tiktok_swise_bot,tiktok,Tripolitania,,swise_bot,test,1,15,0.029
tiktok_tarqatube,tiktok,Tripolitania,,tarqatube,test,2,145,0.265
tiktok_tik_tok_beliby,tiktok,Tripolitania,,tik_tok_beliby,dev,1,9,0.019
tiktok_toaregaalnabaa,tiktok,Fezzan,,toaregaalnabaa,dev,3,84,0.146
tiktok_user7083313821057,tiktok,Fezzan,,user7083313821057,dev,1,19,0.033
tiktok_user9235087565437,tiktok,Fezzan,,user9235087565437,dev,1,12,0.021
tiktok_wasattv,tiktok,Cyrenaica,,wasattv,train,2,19,0.027
tiktok_weseenew,tiktok,Cyrenaica,,weseenew,dev,1,55,0.087
tiktok_www.baderahmed195,tiktok,Tripolitania,,www.baderahmed195,dev,1,39,0.076
tiktok_yahiaojerbi,tiktok,Tripolitania,,yahiaojerbi,test,1,261,0.502
unknown,youtube,Fezzan,,,train,23,1057,1.847
أسامة_وبشير,youtube,Tripolitania,,,dev,4,118,0.19
أسود_وأبيض,youtube,Cyrenaica,https://www.youtube.com/playlist?list=PLmKwa7SmHMw-dCUbQ9Tt80Nf5HhFTvBoc,,test,3,362,0.56
أصل_الحكاية_ام,youtube,Fezzan,,,train,21,2240,3.994
أكشن!,youtube,Tripolitania,,,train,6,220,0.403
افلام_وثمتليات_ليبية,youtube,Tripolitania,,,train,24,1743,2.599
البروف__يحيى_الجربي,youtube,Tripolitania,,,dev,3,355,0.665
العميمات,youtube,Tripolitania,https://www.youtube.com/playlist?list=PLHxosPldXNZ8xgZ9jqGg26HwjG5VfLg8m,,train,17,1724,2.799
القابينة,youtube,Tripolitania,,,dev,7,849,1.449
برونزيني_رمضان_2025,youtube,Cyrenaica,,,train,14,791,1.267
بودكاست_درهم,youtube,Cyrenaica,https://www.youtube.com/@DirhamPodcast/videos,,train,6,3755,6.09
بودكاست_صحراوي,youtube,Fezzan,https://www.youtube.com/@FezzanTV/videos,,train,3,583,1.02
بودكاست_هيهات,youtube,Fezzan,https://www.youtube.com/@%D8%A8%D9%88%D8%AF%D9%83%D8%A7%D8%B3%D8%AA_%D9%87%D9%8A%D9%87%D8%A7%D8%AA/videos,,train,4,2004,3.614
بيناتنا,youtube,Tripolitania,,,test,11,122,0.205
تخاريف,youtube,Tripolitania,,,train,7,92,0.126
توب_واو,youtube,Tripolitania,,,train,1,182,0.343
حكاوي_الراوي_رمضان_2024,youtube,Cyrenaica,,,train,26,4503,7.113
حكاوي_هلنا,youtube,Cyrenaica,,,train,50,1811,3.22
خالتي_مشهية,youtube,Cyrenaica,,,test,6,725,1.19
داميري,youtube,Tripolitania,https://www.youtube.com/channel/UCEcPL8oAxtTNOaHWEkANyNA,,train,12,9291,16.217
ديربي__رمضان_2025_🌙,youtube,Cyrenaica,,,train,12,1201,2.008
رسالة,youtube,Cyrenaica,,,dev,8,597,1.126
شرمولة,youtube,Cyrenaica,,,train,24,7652,13.451
شط_الحرية_1_4_5_6_7,youtube,Cyrenaica,https://www.youtube.com/channel/UCjKj8X7uK_zo7LR5yt6M6lQ,,train,24,5972,9.359
شوية_مع_شيكا__الموسم_19,youtube,Cyrenaica,,,dev,1,255,0.495
صنعة__رمضان_2026_🌙,youtube,Tripolitania,,,train,7,689,1.259
طه_الجواشي,youtube,Tripolitania,https://www.youtube.com/@TahaJawashi,,train,1,3325,6.237
عائلات_بس,youtube,Tripolitania,,,dev,4,306,0.537
عطيني_عقلك,youtube,Cyrenaica,,,test,4,470,0.758
على_بياض,youtube,Tripolitania,https://www.youtube.com/@AlaBayadShow/videos,,train,10,2710,4.558
قبل_المغرب,youtube,Cyrenaica,,,train,7,282,0.488
قلية_والديمقراطية,youtube,Cyrenaica,https://www.youtube.com/playlist?list=PL1NMeupVTOlh3x-02IPq2sJgS5l7Mx6O9,,train,8,982,1.556
لو,youtube,Cyrenaica,,,dev,1,130,0.249
مستر_عوكاكو,youtube,Tripolitania,,,test,1,707,1.358
مسلسل_الاصيلة_الليبي,youtube,Tripolitania,,,dev,9,604,0.853
مسلسل_الكتيبة,youtube,Cyrenaica,,,dev,4,971,1.42
مسلسل_الليبي_الكنة_1993,youtube,Tripolitania,,,test,6,695,1.085
مسلسل_روبيك,youtube,Tripolitania,,,train,12,581,0.79
مسلسل_هاك_ماهاك,youtube,Fezzan,https://www.youtube.com/playlist?list=PLn6j7N0YahohHQEAG403DkZ5uvvNCBIUB,,train,7,833,1.399
مطبخ_عبير,youtube,Tripolitania,https://www.youtube.com/@BNTVLY/videos,,train,2,502,0.865
من_وين_يا_خوي,youtube,Tripolitania,,,train,8,279,0.483
نبدوها_بخطوة,youtube,Tripolitania,,,dev,4,54,0.102
نص_نص,youtube,Tripolitania,,,train,80,1836,3.337
نهاية_انتقام,youtube,Cyrenaica,https://www.youtube.com/playlist?list=PL8olsWm1sRMHkgAyVxOGu_sl0qigQQxAU,,test,4,54,0.077
واقعنا_في_شارعنا,youtube,Tripolitania,,,dev,6,255,0.383
وجيج_02,youtube,Cyrenaica,,,test,15,808,1.319
